date,plant_id,heating_produced_mwh,heating_consumed_mwh
2020-01-01,PL01,656,647
2020-01-01,PL02,547,530
2020-01-01,PL03,635,616
2020-01-01,PL04,248,247
2020-01-01,PL05,428,414
2020-01-02,PL01,436,423
2020-01-02,PL02,497,490
2020-01-02,PL03,595,590
2020-01-02,PL04,244,240
2020-01-02,PL05,226,225
2020-01-03,PL01,462,451
2020-01-03,PL02,71,66
2020-01-03,PL03,642,638
2020-01-03,PL04,521,519
2020-01-03,PL05,259,251
2020-01-04,PL01,680,676
2020-01-04,PL02,163,160
2020-01-04,PL03,577,575
2020-01-04,PL04,366,362
2020-01-04,PL05,115,96
2020-01-05,PL01,492,490
2020-01-05,PL02,103,101
2020-01-05,PL03,316,306
2020-01-05,PL04,326,325
2020-01-05,PL05,93,88
2020-01-06,PL01,464,445
2020-01-06,PL02,596,579
2020-01-06,PL03,331,321
2020-01-06,PL04,393,381
2020-01-06,PL05,629,610
2020-01-07,PL01,387,381
2020-01-07,PL02,142,125
2020-01-07,PL03,561,558
2020-01-07,PL04,99,90
2020-01-07,PL05,465,446
2020-01-08,PL01,404,403
2020-01-08,PL02,682,672
2020-01-08,PL03,492,489
2020-01-08,PL04,412,400
2020-01-08,PL05,433,424
2020-01-09,PL01,270,269
2020-01-09,PL02,396,394
2020-01-09,PL03,80,67
2020-01-09,PL04,381,368
2020-01-09,PL05,323,307
2020-01-10,PL01,492,482
2020-01-10,PL02,390,381
2020-01-10,PL03,59,54
2020-01-10,PL04,242,232
2020-01-10,PL05,288,285
2020-01-11,PL01,100,85
2020-01-11,PL02,148,131
2020-01-11,PL03,450,445
2020-01-11,PL04,69,52
2020-01-11,PL05,297,291
2020-01-12,PL01,364,358
2020-01-12,PL02,583,578
2020-01-12,PL03,540,528
2020-01-12,PL04,389,379
2020-01-12,PL05,616,613
2020-01-13,PL01,163,151
2020-01-13,PL02,263,260
2020-01-13,PL03,109,91
2020-01-13,PL04,556,552
2020-01-13,PL05,210,191
2020-01-14,PL01,187,168
2020-01-14,PL02,474,473
2020-01-14,PL03,401,400
2020-01-14,PL04,570,569
2020-01-14,PL05,74,58
2020-01-15,PL01,76,73
2020-01-15,PL02,556,552
2020-01-15,PL03,168,153
2020-01-15,PL04,681,678
2020-01-15,PL05,625,625
2020-01-16,PL01,435,427
2020-01-16,PL02,558,557
2020-01-16,PL03,571,571
2020-01-16,PL04,102,96
2020-01-16,PL05,294,285
2020-01-17,PL01,637,633
2020-01-17,PL02,502,486
2020-01-17,PL03,306,303
2020-01-17,PL04,379,369
2020-01-17,PL05,74,62
2020-01-18,PL01,486,480
2020-01-18,PL02,343,335
2020-01-18,PL03,647,640
2020-01-18,PL04,190,172
2020-01-18,PL05,505,501
2020-01-19,PL01,613,611
2020-01-19,PL02,489,472
2020-01-19,PL03,285,276
2020-01-19,PL04,405,394
2020-01-19,PL05,362,343
2020-01-20,PL01,280,267
2020-01-20,PL02,252,233
2020-01-20,PL03,534,519
2020-01-20,PL04,677,664
2020-01-20,PL05,450,436
2020-01-21,PL01,648,639
2020-01-21,PL02,141,140
2020-01-21,PL03,345,345
2020-01-21,PL04,464,456
2020-01-21,PL05,385,378
2020-01-22,PL01,389,380
2020-01-22,PL02,692,681
2020-01-22,PL03,481,469
2020-01-22,PL04,632,629
2020-01-22,PL05,123,104
2020-01-23,PL01,251,243
2020-01-23,PL02,401,397
2020-01-23,PL03,109,94
2020-01-23,PL04,318,317
2020-01-23,PL05,608,591
2020-01-24,PL01,274,258
2020-01-24,PL02,390,376
2020-01-24,PL03,127,117
2020-01-24,PL04,262,252
2020-01-24,PL05,102,92
2020-01-25,PL01,301,284
2020-01-25,PL02,425,408
2020-01-25,PL03,481,479
2020-01-25,PL04,622,618
