date,plant_id,plant_name,energy_source,mwh_produced
2020-01-01,PL01,Vaasa Plant,Wind,110
2020-01-01,PL02,Espoo Plant,Solar,49
2020-01-01,PL03,Oulu Plant,Biomass,300
2020-01-01,PL04,Tampere Plant,Nuclear,1110
2020-01-01,PL05,Rovaniemi Plant,Hydro,381
2020-01-02,PL01,Vaasa Plant,Wind,112
2020-01-02,PL02,Espoo Plant,Solar,32
2020-01-02,PL03,Oulu Plant,Biomass,310
2020-01-02,PL04,Tampere Plant,Nuclear,1085
2020-01-02,PL05,Rovaniemi Plant,Hydro,397
2020-01-03,PL01,Vaasa Plant,Wind,81
2020-01-03,PL02,Espoo Plant,Solar,61
2020-01-03,PL03,Oulu Plant,Biomass,298
2020-01-03,PL04,Tampere Plant,Nuclear,1082
2020-01-03,PL05,Rovaniemi Plant,Hydro,410
2020-01-04,PL01,Vaasa Plant,Wind,97
2020-01-04,PL02,Espoo Plant,Solar,33
2020-01-04,PL03,Oulu Plant,Biomass,282
2020-01-04,PL04,Tampere Plant,Nuclear,1082
2020-01-04,PL05,Rovaniemi Plant,Hydro,418
2020-01-05,PL01,Vaasa Plant,Wind,115
2020-01-05,PL02,Espoo Plant,Solar,58
2020-01-05,PL03,Oulu Plant,Biomass,290
2020-01-05,PL04,Tampere Plant,Nuclear,1086
2020-01-05,PL05,Rovaniemi Plant,Hydro,418
2020-01-06,PL01,Vaasa Plant,Wind,102
2020-01-06,PL02,Espoo Plant,Solar,65
2020-01-06,PL03,Oulu Plant,Biomass,291
2020-01-06,PL04,Tampere Plant,Nuclear,1099
2020-01-06,PL05,Rovaniemi Plant,Hydro,389
2020-01-07,PL01,Vaasa Plant,Wind,80
2020-01-07,PL02,Espoo Plant,Solar,52
2020-01-07,PL03,Oulu Plant,Biomass,282
2020-01-07,PL04,Tampere Plant,Nuclear,1109
2020-01-07,PL05,Rovaniemi Plant,Hydro,417
2020-01-08,PL01,Vaasa Plant,Wind,100
2020-01-08,PL02,Espoo Plant,Solar,65
2020-01-08,PL03,Oulu Plant,Biomass,289
2020-01-08,PL04,Tampere Plant,Nuclear,1099
2020-01-08,PL05,Rovaniemi Plant,Hydro,411
2020-01-09,PL01,Vaasa Plant,Wind,96
2020-01-09,PL02,Espoo Plant,Solar,68
2020-01-09,PL03,Oulu Plant,Biomass,303
2020-01-09,PL04,Tampere Plant,Nuclear,1109
2020-01-09,PL05,Rovaniemi Plant,Hydro,396
2020-01-10,PL01,Vaasa Plant,Wind,104
2020-01-10,PL02,Espoo Plant,Solar,49
2020-01-10,PL03,Oulu Plant,Biomass,301
2020-01-10,PL04,Tampere Plant,Nuclear,1105
2020-01-10,PL05,Rovaniemi Plant,Hydro,381
2020-01-11,PL01,Vaasa Plant,Wind,96
2020-01-11,PL02,Espoo Plant,Solar,60
2020-01-11,PL03,Oulu Plant,Biomass,299
2020-01-11,PL04,Tampere Plant,Nuclear,1080
2020-01-11,PL05,Rovaniemi Plant,Hydro,392
2020-01-12,PL01,Vaasa Plant,Wind,90
2020-01-12,PL02,Espoo Plant,Solar,45
2020-01-12,PL03,Oulu Plant,Biomass,314
2020-01-12,PL04,Tampere Plant,Nuclear,1115
2020-01-12,PL05,Rovaniemi Plant,Hydro,407
2020-01-13,PL01,Vaasa Plant,Wind,102
2020-01-13,PL02,Espoo Plant,Solar,61
2020-01-13,PL03,Oulu Plant,Biomass,299
2020-01-13,PL04,Tampere Plant,Nuclear,1119
2020-01-13,PL05,Rovaniemi Plant,Hydro,411
2020-01-14,PL01,Vaasa Plant,Wind,104
2020-01-14,PL02,Espoo Plant,Solar,55
2020-01-14,PL03,Oulu Plant,Biomass,311
2020-01-14,PL04,Tampere Plant,Nuclear,1093
2020-01-14,PL05,Rovaniemi Plant,Hydro,416
2020-01-15,PL01,Vaasa Plant,Wind,118
